INSTANCE N NEAREST_NEIGHBOUR 11 101 1100 1010
bayg29.txt 29 9962 9775 9775 9775 9775
dantzig42.txt 42 803 803 798 798 798
att48.txt 48 37897 37544 37544 37544 37544
eil51.txt 51 482 482 482 482 482
Berlin52.txt 52 8181 8181 8181 8181 8181
St70.txt 70 796 796 796 796 796
eil76.txt 76 608 591 591 591 591
rat99.txt 99 1471 1471 1471 1460 1460
rd100.txt 100 9423 9423 9423 9423 9415
kroB100.txt 100 25884 25884 25884 25884 25884
kroA100.txt 100 24698 24547 24547 24547 24547
eil101.txt 101 746 746 746 746 746
lin105.txt 105 16935 16935 16935 16703 16703
bier127.txt 127 131123 131123 131123 130029 130029
ch130.txt 130 7129 7090 7090 7090 7090
pr136.txt 136 114553 114553 114553 114553 114553
ch150.txt 150 7113 7113 7113 7113 7113
d198.txt 198 17620 17620 17620 17620 17620
kroA200.txt 200 34543 34471 34408 34408 34408
gr229.txt 229 1864 1864 1864 1862 1862
a280.txt 280 2975 2955 2955 2955 2955
fl417.txt 417 13887 13875 13875 13875 13875
d493.txt 493 40186 40186 40162 40162 40162
att532.txt 532 101969 101373 101373 101373 101373
rat575.txt 575 7993 7993 7993 7993 7993
d657.txt 657 60174 60174 60174 59477 59477
rat783.txt 783 10540 10540 10539 10539 10539
