INSTANCE N NEAREST_NEIGHBOUR 11 101 1100 1010
bayg29.txt 29 9962 9775 9962 9962 9962
dantzig42.txt 42 803 803 798 803 803
att48.txt 48 37897 37544 37897 37897 37897
eil51.txt 51 482 482 482 482 482
Berlin52.txt 52 8181 8181 8181 8181 8181
St70.txt 70 796 796 796 796 796
eil76.txt 76 608 591 608 608 608
rat99.txt 99 1471 1471 1471 1460 1471
rd100.txt 100 9423 9423 9423 9423 9415
kroB100.txt 100 25884 25884 25884 25884 25884
kroA100.txt 100 24698 24547 24675 24698 24585
eil101.txt 101 746 746 746 746 746
lin105.txt 105 16935 16935 16935 16703 16935
bier127.txt 127 131123 131123 131123 130029 131123
ch130.txt 130 7129 7090 7129 7129 7129
pr136.txt 136 114553 114553 114553 114553 114553
ch150.txt 150 7113 7113 7113 7113 7113
d198.txt 198 17620 17620 17620 17620 17620
kroA200.txt 200 34543 34471 34408 34543 34388
gr229.txt 229 1864 1864 1864 1862 1864
a280.txt 280 2975 2955 2975 2975 2975
fl417.txt 417 13887 13875 13887 13887 13887
d493.txt 493 40186 40186 40162 40186 40162
att532.txt 532 101969 101373 101959 101969 101959
rat575.txt 575 7993 7993 7993 7993 7993
d657.txt 657 60174 60174 60174 59477 60174
rat783.txt 783 10540 10540 10539 10540 10540
