INSTANCE N NEAREST_NEIGHBOUR Result Trace
lin105.txt 105 16935 16703 0011,
kroA200.txt 200 34543 34336 1010,0101,
d657.txt 657 60174 59477 0011,
att48.txt 48 37897 37544 0101,
eil76.txt 76 608 587 0101,0101,1010,
bayg29.txt 29 9962 9683 0101,0011,0101,
a280.txt 280 2975 2955 0101,0101,
att532.txt 532 101969 101363 0101,1100,
ch150.txt 150 7113 7113 
gr229.txt 229 1864 1862 0011,
bier127.txt 127 131123 130029 0011,
rd100.txt 100 9423 9415 1100,
dantzig42.txt 42 803 798 1010,
eil101.txt 101 746 746 
rat575.txt 575 7993 7993 
kroB100.txt 100 25884 25884 
eil51.txt 51 482 479 1100,
rat99.txt 99 1471 1460 0011,
Berlin52.txt 52 8181 8181 
kroA100.txt 100 24698 24353 0101,1100,1010,
ch130.txt 130 7129 7090 0101,
St70.txt 70 796 790 1010,
fl417.txt 417 13887 13875 0101,
d198.txt 198 17620 17620 
pr136.txt 136 114553 114553 
d493.txt 493 40186 40162 1010,
rat783.txt 783 10540 10538 1010,1100,
